,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Samarai,92,PG,1553385268,100,-10.62,150.67,78.55,7.74
1,Salalah,40,OM,1553381400,78,17.01,54.1,78.8,8.05
2,Ushuaia,40,AR,1553382000,62,-54.81,-68.31,53.6,8.05
3,Arraial do Cabo,20,BR,1553382000,88,-22.97,-42.02,73.4,2.24
4,Oktyabrskoye,0,RU,1553383883,80,56.73,85.44,33.01,6.71
5,Mount Gambier,90,AU,1553382000,100,-37.83,140.78,60.8,8.05
6,Tuktoyaktuk,75,CA,1553382000,72,69.44,-133.03,14.0,21.92
7,Sao Geraldo do Araguaia,80,BR,1553385840,92,-6.4,-48.55,76.48,3.38
8,Coari,32,BR,1553385842,75,-4.09,-63.14,83.32,5.95
9,Mataura,92,NZ,1553385549,51,-46.19,168.86,70.81,5.95
10,Emirdag,0,TR,1553385844,73,39.02,31.15,25.54,4.05
11,Hobart,20,AU,1553385441,52,-42.88,147.33,69.01,9.17
12,Busselton,12,AU,1553385728,56,-33.64,115.35,55.99,13.33
13,Lompoc,40,US,1553385622,63,34.64,-120.46,66.0,11.41
14,Saldanha,0,PT,1553385552,68,41.42,-6.55,44.8,4.94
15,Cabo San Lucas,5,MX,1553385719,47,22.89,-109.91,79.0,9.17
16,Yellowknife,20,CA,1553385749,43,62.45,-114.38,14.0,10.29
17,Barrow,24,AR,1553385852,85,-38.31,-60.23,57.85,12.77
18,Puerto Ayora,20,EC,1553384831,74,-0.74,-90.35,84.2,11.41
19,Ternate,20,PH,1553385581,69,14.29,120.72,84.99,9.17
20,Zhanakorgan,92,KZ,1553385856,89,43.91,67.25,47.23,5.61
21,Coahuayana,0,MX,1553385656,20,18.62,-100.35,83.5,2.48
22,Sao Filipe,0,CV,1553385721,98,14.9,-24.5,69.91,13.22
23,Gua,0,PH,1553385860,93,11.21,122.05,78.64,15.46
24,Rikitea,80,PF,1553385667,97,-23.12,-134.97,79.72,17.69
25,East London,0,ZA,1553385804,91,-33.02,27.91,76.12,24.52
26,Ancud,90,CL,1553382000,82,-41.87,-73.83,55.4,1.12
27,Port Elizabeth,1,US,1553385864,24,39.31,-74.98,50.0,16.11
28,Bluff,0,AU,1553385570,63,-23.58,149.07,83.86,5.61
29,Kapaa,90,US,1553385812,78,22.08,-159.32,80.6,17.22
30,Colesberg,88,ZA,1553385869,52,-30.72,25.1,66.31,3.38
31,Isiro,24,CD,1553385870,73,2.77,27.62,72.52,5.17
32,Kupang,12,ID,1553385609,90,-10.16,123.6,84.04,10.65
33,Eyl,92,SO,1553385873,96,7.98,49.82,79.36,11.21
34,Qaanaaq,20,GL,1553385874,78,77.48,-69.36,-26.31,10.98
35,Severo-Kurilsk,88,RU,1553385875,99,50.68,156.12,30.04,19.48
36,Aras,0,YE,1553385876,81,14.28,44.38,43.45,0.92
37,Pevek,0,RU,1553385878,78,69.7,170.27,-7.86,1.7
38,Hermanus,68,ZA,1553385736,95,-34.42,19.24,64.99,2.93
39,Catuday,0,PH,1553385881,89,16.29,119.81,78.91,13.11
40,Vestmannaeyjar,44,IS,1553385591,100,63.44,-20.27,36.61,22.73
41,Waiouru,36,NZ,1553385883,71,-39.48,175.67,65.77,4.27
42,Tilichiki,0,RU,1553385884,80,60.47,166.1,9.61,3.94
43,Rocha,68,UY,1553385776,56,-34.48,-54.34,68.56,8.52
44,Tadine,80,NC,1553385887,89,-21.55,167.88,81.61,16.91
45,Ishinomaki,75,JP,1553382000,51,38.42,141.3,39.2,10.29
46,Grindavik,75,IS,1553384798,100,63.84,-22.43,34.0,4.7
47,Alghero,0,IT,1553383200,93,40.56,8.32,42.8,1.12
48,Lebu,75,ET,1553382000,44,8.96,38.73,60.8,4.7
49,Hsinchu,75,TW,1553385603,82,24.8,120.97,62.01,23.04
50,Castro,90,CL,1553382000,82,-42.48,-73.76,55.4,1.12
51,Constitucion,5,MX,1553385616,7,23.99,-104.67,77.0,6.93
52,Bulgan,0,MN,1553385897,56,48.81,103.53,16.63,7.07
53,Clyde River,90,CA,1553384040,75,70.47,-68.59,-16.61,16.11
54,Touros,40,BR,1553382000,83,-5.2,-35.46,82.4,6.93
55,Lebowakgomo,0,ZA,1553382000,72,-24.3,29.54,64.4,10.29
56,Avarua,76,CK,1553383800,74,-21.21,-159.78,84.2,8.05
57,Lagoa,0,PT,1553385729,72,37.14,-8.45,60.8,12.75
58,Lavrentiya,92,RU,1553385744,100,65.58,-170.99,18.07,14.67
59,Port Macquarie,0,AU,1553385605,69,-31.43,152.91,86.0,1.12
60,Khash,68,IR,1553385908,99,28.22,61.21,46.69,2.82
61,Ipanguacu,80,BR,1553385910,95,-5.5,-36.85,75.4,2.71
62,Saint-Joseph,0,FR,1553385904,65,43.56,6.97,62.01,4.7
63,Raub,8,MY,1553385912,89,3.79,101.85,71.62,2.37
64,Uusikaupunki,0,FI,1553385000,60,60.8,21.41,39.2,14.99
65,Bilibino,0,RU,1553385915,77,68.06,166.44,8.08,3.15
66,Punta Arenas,75,CL,1553385794,81,-53.16,-70.91,53.6,9.17
67,Butaritari,76,KI,1553385681,100,3.07,172.79,80.08,8.75
68,Ornes,0,FR,1553385913,86,49.25,5.47,45.0,3.36
69,Kamina,88,CD,1553385920,96,-8.74,25.0,68.11,4.72
70,Mar del Plata,0,AR,1553385657,81,-46.43,-67.52,54.16,4.16
71,Puro,0,PH,1553385923,74,13.13,123.76,79.18,9.53
72,Saint-Pierre,0,FR,1553385670,93,48.95,4.24,39.2,6.93
73,Timaru,0,NZ,1553385141,93,-44.39,171.25,68.0,4.0
74,Hilo,40,US,1553385693,61,19.71,-155.08,78.8,13.87
75,Yamoussoukro,0,CI,1553385772,94,6.81,-5.27,78.8,6.93
76,Ridgecrest,0,US,1553385873,32,35.62,-117.67,63.0,18.01
77,Airai,24,TL,1553385932,69,-8.93,125.41,78.73,2.15
78,Vaini,0,IN,1553385722,88,15.34,74.49,62.44,0.92
79,San Juan,20,PH,1553385725,69,14.6,121.03,84.99,9.17
80,Salinopolis,68,BR,1553385747,100,-0.61,-47.36,79.63,11.54
81,Saskylakh,0,RU,1553385681,35,71.97,114.09,-24.06,2.93
82,Sinaloa,40,MX,1553385898,12,32.55,-115.28,84.2,8.05
83,Puurmani,36,EE,1553385714,93,58.57,26.29,37.4,13.87
84,Ossora,12,RU,1553385942,90,59.24,163.07,18.52,9.42
85,Chokurdakh,36,RU,1553385943,72,70.62,147.9,-6.15,4.38
86,Moose Factory,90,CA,1553382000,51,51.26,-80.61,39.2,14.99
87,Garissa,0,KE,1553385946,70,-0.46,39.64,78.1,9.75
88,Jamestown,80,AU,1553385947,70,-33.21,138.6,71.98,14.23
89,Cape Town,0,ZA,1553385790,93,-33.93,18.42,73.0,8.05
90,Albany,1,US,1553385905,53,42.65,-73.75,35.01,17.22
91,Yaransk,80,RU,1553385951,70,57.3,47.88,22.39,5.73
92,Nefteyugansk,75,RU,1553383800,100,61.09,72.61,26.6,4.47
93,Baley,0,RU,1553385954,52,51.58,116.65,19.51,5.5
94,Pozo Colorado,56,PY,1553385955,71,-23.49,-58.8,77.2,4.83
95,Tiksi,64,RU,1553385956,77,71.64,128.87,4.39,4.05
96,Kumphawapi,20,TH,1553382000,74,17.11,103.01,78.8,5.82
97,Gat,0,SN,1553383800,77,14.69,-16.54,66.2,14.99
98,Geraldton,20,CA,1553382000,17,49.72,-86.95,51.8,12.75
99,Manokwari,36,ID,1553385729,99,-0.87,134.08,81.16,6.62
100,Dingle,56,PH,1553385690,74,11.0,122.67,77.56,14.67
101,Karratha,64,AU,1553385964,57,-20.74,116.85,83.86,36.93
102,Uige,92,AO,1553385965,98,-7.61,15.06,66.31,2.37
103,Sinnamary,100,GF,1553385967,96,5.38,-52.96,79.81,11.99
104,Bose,0,IT,1553385965,61,45.46,8.01,55.0,2.24
105,Acapulco,5,MX,1553381280,74,16.86,-99.88,84.2,11.41
106,Nandyal,36,IN,1553385970,73,15.47,78.48,71.8,2.59
107,Luga,88,RU,1553385812,96,58.74,29.85,37.6,9.08
108,Khatanga,0,RU,1553385973,28,71.98,102.47,-19.38,3.15
109,Narsaq,24,GL,1553381400,51,60.91,-46.05,12.2,2.48
110,Torbay,90,CA,1553385807,100,47.66,-52.73,39.0,8.05
111,Coolum Beach,0,AU,1553385924,60,-26.53,153.09,88.0,3.15
112,Loei,20,TH,1553382000,82,17.49,101.72,68.0,2.24
113,Boyolangu,32,ID,1553385979,95,-8.09,111.9,73.33,3.49
114,Mount Isa,90,AU,1553383800,74,-20.73,139.49,80.6,18.34
115,Cherskiy,20,RU,1553385699,68,68.75,161.3,4.75,2.15
116,Srednekolymsk,12,RU,1553385983,72,67.46,153.71,12.4,2.59
117,Butia,0,BR,1553384326,88,-21.88,-47.57,75.0,2.71
118,Uvinza,56,TZ,1553385986,95,-5.1,30.39,65.05,2.15
119,Faanui,8,PF,1553385713,100,-16.48,-151.75,84.4,9.64
120,Abu Samrah,24,SY,1553385989,78,35.3,37.18,50.2,4.72
121,Hamilton,75,BM,1553385627,72,32.3,-64.78,64.4,17.22
122,Ust-Omchug,36,RU,1553385991,81,61.13,149.63,7.45,3.49
123,Bredasdorp,92,ZA,1553385704,83,-34.53,20.04,69.8,3.36
124,Kutum,12,SD,1553385993,47,14.2,24.66,64.06,2.71
125,La Ronge,40,CA,1553382000,63,55.1,-105.3,28.4,11.41
126,Saint Lawrence,75,MT,1553385960,87,36.06,14.2,55.4,3.36
127,Port Hardy,40,CA,1553382000,58,50.7,-127.42,53.6,6.93
128,San Patricio,0,PY,1553385986,74,-26.98,-56.83,67.21,3.83
129,Manihari,0,IN,1553386000,58,25.34,87.62,59.92,4.61
130,Poum,0,MK,1553385322,81,41.28,20.71,31.03,1.7
131,Mangrol,0,IN,1553386002,60,25.33,76.51,57.13,2.37
132,Bolshaya Glushitsa,44,RU,1553385858,83,50.24,43.59,33.01,7.74
133,Tshela,80,CD,1553386005,96,-4.99,12.94,70.63,1.92
134,Mahibadhoo,0,MV,1553386006,100,3.78,72.97,84.67,11.21
135,Fort-Shevchenko,0,KZ,1553386008,99,44.51,50.26,41.2,13.22
136,Bathsheba,40,BB,1553382000,69,13.22,-59.52,78.8,13.87
137,Quatre Cocos,75,MU,1553385539,83,-20.21,57.76,80.6,13.87
138,Katsuura,40,JP,1553384917,70,33.93,134.5,46.0,10.29
139,Thompson,20,CA,1553382000,43,55.74,-97.86,15.8,13.87
140,Dolores,0,UY,1553386015,65,-33.53,-58.22,64.6,7.63
141,Chibombo,12,ZM,1553386016,65,-14.68,28.09,69.1,11.65
142,Codrington,0,AU,1553385824,73,-28.95,153.24,82.4,3.36
143,Iturama,56,BR,1553386019,76,-19.73,-50.2,77.56,7.74
144,Humberto de Campos,80,BR,1553386021,92,-2.6,-43.46,81.61,11.21
145,Chunskiy,68,RU,1553386022,77,56.08,99.63,18.25,2.37
146,Diamantino,24,BR,1553386024,84,-14.4,-56.44,77.47,2.59
147,Vao,88,EE,1553385727,95,59.1,26.19,34.45,10.98
148,Dunedin,68,NZ,1553385822,70,-45.87,170.5,69.01,8.99
149,Adrar,0,DZ,1553382000,23,27.87,-0.29,62.6,9.17
150,Luderitz,48,NA,1553386028,94,-26.65,15.16,58.39,9.31
151,Cidreira,0,BR,1553386030,93,-30.17,-50.22,64.15,6.85
152,Lasa,0,CY,1553385658,76,34.92,32.53,57.2,4.7
153,Kuusamo,0,FI,1553383200,80,65.96,29.19,30.2,11.41
154,Cairns,75,AU,1553385582,79,-16.92,145.77,86.0,6.93
155,Saint George,0,GR,1553381400,81,39.45,22.34,44.6,4.16
156,Cockburn Town,0,TC,1553385970,97,21.46,-71.14,79.63,13.67
157,New Norfolk,20,AU,1553385441,52,-42.78,147.06,69.01,9.17
158,Atuona,64,PF,1553385988,99,-9.8,-139.03,82.6,16.69
159,Pangnirtung,76,CA,1553386022,67,66.15,-65.72,1.51,27.65
160,Husavik,0,CA,1553385954,72,50.56,-96.99,46.0,9.75
161,Coihaique,20,CL,1553382000,66,-45.58,-72.07,55.4,3.36
162,Carnarvon,76,ZA,1553385995,21,-30.97,22.13,69.73,4.72
163,Tripoli,0,GR,1553385935,66,37.51,22.37,55.99,4.7
164,Kaitangata,76,NZ,1553386030,72,-46.28,169.85,67.48,4.38
165,Timra,8,SE,1553386043,48,62.49,17.33,39.99,13.87
166,Yarmouth,76,GB,1553386028,70,50.71,-1.5,48.99,2.24
167,Bilma,68,NE,1553385986,13,18.69,12.92,74.68,11.54
168,Bolivar,90,US,1553385814,93,37.61,-93.41,51.8,5.82
169,Grand Gaube,75,MU,1553385839,83,-20.01,57.66,80.6,13.87
170,Bethel,40,US,1553385360,65,60.79,-161.76,44.6,12.75
171,Borazjan,0,IR,1553381400,60,29.27,51.21,68.0,2.24
172,Kattivakkam,40,IN,1553383800,88,13.22,80.32,80.6,5.82
173,Saint Anthony,56,US,1553385922,70,43.97,-111.68,46.99,4.94
174,Ukiah,1,US,1553386047,44,39.15,-123.21,59.0,14.99
175,Kavieng,64,PG,1553386052,99,-2.57,150.8,84.22,6.4
176,Balaghat,0,IN,1553386062,35,21.81,80.19,68.56,6.4
177,Georgetown,20,GY,1553382000,69,6.8,-58.16,82.4,6.93
178,Casa Nova,68,BR,1553386065,92,-11.77,-39.23,74.59,3.6
179,Port Blair,0,IN,1553386056,100,11.67,92.75,81.7,8.86
180,Celendin,90,PE,1553382000,93,-6.87,-78.15,55.4,1.7
181,Victor Harbor,0,AU,1553386051,68,-35.55,138.62,75.99,6.93
182,Pangkalanbuun,32,ID,1553386070,93,-2.68,111.62,77.11,4.38
183,Montanha,92,BR,1553386072,96,-18.13,-40.37,72.61,7.74
184,Oswego,90,US,1553385794,100,37.17,-95.11,52.0,6.93
185,Shanghai,0,CN,1553385704,61,31.23,121.49,60.01,6.71
186,Iskateley,88,RU,1553386076,89,67.68,53.15,30.4,23.06
187,Amahai,36,ID,1553385945,100,-3.31,129.0,81.61,6.4
188,Conde,100,BR,1553386079,96,-11.81,-37.61,79.45,5.28
189,Naze,44,NG,1553386080,88,5.43,7.07,75.76,5.5
190,Solms,0,DE,1553386076,75,50.53,8.41,46.99,9.17
191,Upernavik,24,GL,1553386082,100,72.79,-56.15,-10.56,8.75
192,Port Alfred,0,ZA,1553385910,95,-33.59,26.89,71.01,16.58
193,Leningradskiy,80,RU,1553386085,90,69.38,178.42,-3.99,20.27
194,Lixourion,20,GR,1553385976,58,38.2,20.43,55.0,3.0
195,Deputatskiy,0,RU,1553385883,48,69.3,139.9,-10.02,2.71
196,Mahebourg,75,MU,1553385839,83,-20.41,57.7,80.6,13.87
197,Otjiwarongo,32,NA,1553386090,72,-20.46,16.65,64.69,2.93
198,Isangel,90,VU,1553382000,74,-19.55,169.27,84.2,3.36
199,Victoria,75,BN,1553383800,88,5.28,115.24,80.6,4.38
200,Pyapon,0,MM,1553386094,98,16.29,95.68,74.59,9.31
201,Anadyr,90,RU,1553385794,77,64.73,177.51,6.8,20.13
202,Eureka,20,US,1553385911,100,40.8,-124.16,57.99,12.75
203,Fortuna,0,ES,1553386056,76,38.18,-1.13,57.2,5.82
204,Nalut,0,LY,1553386099,92,31.86,10.98,48.04,3.71
205,Blind River,1,CA,1553384160,55,46.19,-82.96,35.6,6.93
206,Kununurra,0,AU,1553382000,83,-15.77,128.74,82.4,3.36
207,Voyvozh,48,RU,1553386103,85,62.89,54.96,26.35,11.32
208,Abnub,8,EG,1553382000,16,27.27,31.15,77.0,18.34
209,Den Helder,90,NL,1553386084,87,52.96,4.76,43.0,4.7
210,Sitka,0,US,1553385677,48,37.17,-99.65,64.0,1.01
211,Mincivan,20,AZ,1553386109,83,39.03,46.72,34.81,1.7
212,Klaksvik,64,FO,1553385000,86,62.23,-6.59,41.0,12.75
213,Ucluelet,40,CA,1553385918,81,48.94,-125.55,54.0,9.17
214,Douentza,48,ML,1553386112,64,15.01,-2.95,73.69,2.71
215,Pauini,48,BR,1553386114,94,-7.71,-67.0,75.4,1.48
216,Hithadhoo,92,MV,1553385987,100,-0.6,73.08,86.2,7.74
217,Saint-Agapit,20,CA,1553385952,47,46.56,-71.44,34.0,10.29
218,Los Llanos de Aridane,75,ES,1553385903,59,28.66,-17.92,64.4,12.75
219,The Valley,40,AI,1553385722,69,18.22,-63.06,78.8,11.41
220,Tagusao,0,PH,1553386120,88,9.19,117.81,79.81,4.72
221,Kruisfontein,76,ZA,1553386121,83,-34.0,24.73,65.95,3.94
222,Hasaki,20,JP,1553385738,100,35.73,140.83,46.0,5.82
223,Fredericksburg,1,US,1553386115,25,38.3,-77.46,51.8,10.29
224,Bambous Virieux,75,MU,1553385839,83,-20.34,57.76,80.6,13.87
225,Sobolevo,64,RU,1553386127,74,54.43,31.9,32.47,11.32
226,Talnakh,64,RU,1553386128,81,69.49,88.39,5.56,6.17
227,Tasiilaq,0,GL,1553381400,55,65.61,-37.64,10.4,2.24
228,Paita,24,PE,1553386131,64,-5.09,-81.11,79.18,10.42
229,Guerrero Negro,0,MX,1553385959,57,27.97,-114.04,67.21,12.55
230,Jagatsinghapur,0,IN,1553383800,94,20.27,86.17,75.2,3.38
231,Minot,1,US,1553385892,62,48.23,-101.3,55.4,6.93
232,Taoudenni,100,ML,1553386136,17,22.68,-3.98,73.69,9.64
233,LaBelle,1,US,1553386122,46,26.76,-81.44,73.4,6.17
234,Kudahuvadhoo,56,MV,1553386139,100,2.67,72.89,84.49,10.87
235,Broome,80,GB,1553386138,86,52.47,1.45,44.01,3.83
236,Derzhavinsk,76,KZ,1553386058,96,51.1,66.31,28.24,3.15
237,Chuy,8,UY,1553385869,81,-33.69,-53.46,65.32,11.32
238,Saint-Philippe,1,CA,1553385912,54,45.36,-73.48,32.0,19.46
239,Broken Hill,90,AU,1553382000,82,-31.97,141.45,68.0,9.17
240,Batemans Bay,92,AU,1553385903,70,-35.71,150.18,71.01,3.83
241,Tam Ky,75,VN,1553383800,94,15.57,108.48,78.8,4.7
242,Tigil,0,RU,1553386149,84,57.8,158.67,25.45,11.21
243,Paamiut,20,GL,1553386151,100,61.99,-49.67,19.69,10.76
244,Abu Zabad,32,SD,1553386152,49,12.35,29.25,69.1,3.15
245,Penaflor,0,CL,1553386128,31,-33.62,-70.92,77.0,12.75
246,Dikson,76,RU,1553386155,93,73.51,80.55,18.25,23.06
247,Rio Grande,0,BR,1553385995,94,-32.03,-52.1,67.66,10.2
248,Gravelbourg,64,CA,1553386158,71,49.88,-106.56,52.9,9.98
249,Kortkeros,0,RU,1553386115,64,61.81,51.56,35.6,6.71
250,Champerico,40,MX,1553381520,38,16.38,-93.6,89.6,14.99
251,Kaniama,76,CD,1553386162,95,-7.57,24.18,69.46,0.58
252,Pinheiro Machado,0,BR,1553386163,71,-31.58,-53.38,63.16,9.98
253,Huilong,100,CN,1553386164,97,28.89,110.18,41.56,3.49
254,Byron Bay,0,AU,1553386125,58,-28.65,153.62,89.01,3.36
255,Isla Mujeres,75,MX,1553385788,57,21.23,-86.73,77.0,8.05
256,Kalaleh,8,IR,1553382000,54,37.38,55.49,57.2,2.24
257,Anloga,20,GH,1553382000,83,5.79,0.9,82.4,11.41
258,Belmonte,0,PT,1553385829,59,40.36,-7.35,54.0,1.01
259,Tondano,20,ID,1553383800,78,1.3,124.91,80.6,0.69
260,Haldibari,0,IN,1553386173,56,26.34,88.78,60.91,9.42
261,Kailua,75,US,1553385919,54,21.39,-157.74,80.6,13.87
262,Vestmanna,92,FO,1553385000,86,62.16,-7.17,41.0,12.75
263,Vardo,1,US,1553386077,19,39.62,-77.74,48.2,10.29
264,Haines Junction,68,CA,1553386178,57,60.75,-137.51,40.93,5.61
265,Alofi,68,NU,1553382000,65,-19.06,-169.92,82.4,11.41
266,Nanortalik,80,GL,1553386180,100,60.14,-45.24,21.94,7.74
267,Hirara,75,JP,1553382000,63,24.8,125.28,64.4,13.87
268,San Jose,8,PH,1553386184,72,15.79,120.99,75.31,3.15
269,Tacuati,36,PY,1553386186,77,-23.46,-56.74,77.56,3.15
270,French Harbor,20,HN,1553382000,54,16.35,-86.43,80.6,4.7
271,Kieta,92,PG,1553385985,96,-6.22,155.63,81.52,4.72
272,Pierre,90,US,1553385877,75,44.37,-100.35,44.6,5.82
273,Redmond,1,US,1553386098,50,47.67,-122.12,60.8,6.93
274,Sur,12,OM,1553386192,95,22.57,59.53,72.16,5.17
275,Union,90,US,1553386012,58,47.36,-123.1,60.01,2.48
276,Oistins,40,BB,1553382000,69,13.07,-59.53,78.8,13.87
277,San Cristobal,75,EC,1553385645,93,-0.39,-78.55,55.4,5.82
278,Perth,40,GB,1553386027,86,56.4,-3.43,41.0,10.29
279,Am Timan,44,TD,1553386199,40,11.04,20.28,76.93,2.82
280,Souillac,0,FR,1553385970,62,45.6,-0.6,54.0,4.7
