,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
281,Faya,0,SA,1553382000,50,18.39,42.45,59.0,4.7
282,Norman Wells,75,CA,1553382000,64,65.28,-126.83,33.8,13.87
283,Kenora,1,CA,1553385769,52,49.76,-94.48,46.4,9.17
284,Aranos,100,NA,1553386071,24,-24.14,19.11,83.41,9.86
285,Moroni,88,US,1553386144,56,39.52,-111.59,53.01,1.01
286,Kavaratti,8,IN,1553386005,100,10.57,72.64,83.23,10.65
287,Cayenne,0,GF,1553383800,83,4.94,-52.33,78.8,3.36
288,Bourail,56,NC,1553386214,73,-21.57,165.5,82.06,5.39
289,Vangaindrano,92,MG,1553386215,100,-23.35,47.6,68.38,3.94
290,Mosetse,0,BW,1553386217,59,-20.64,26.64,71.35,14.12
291,Pochutla,20,MX,1553385705,74,15.74,-96.47,82.4,5.82
292,Coos Bay,68,US,1553385926,72,43.37,-124.22,54.0,3.71
293,Nikolskoye,90,RU,1553386206,86,59.7,30.79,39.2,6.71
294,Jiangyou,68,CN,1553386222,88,31.78,104.73,38.23,2.82
295,Kirkwall,68,GB,1553386223,86,58.98,-2.96,41.0,16.11
296,Puerto Baquerizo Moreno,90,EC,1553382000,94,-0.9,-89.6,78.8,10.87
297,Zhezkazgan,88,KZ,1553386226,91,47.8,67.71,34.81,3.15
298,Sorland,92,NO,1553386153,99,67.67,12.69,39.94,45.1
299,Ribeira Grande,56,PT,1553386229,100,38.52,-28.7,57.85,25.86
300,Saint-Augustin,0,FR,1553386205,71,44.83,-0.61,54.0,1.12
301,Balvi,0,LV,1553386232,82,57.13,27.27,38.14,15.79
302,Fairbanks,75,US,1553386205,37,64.84,-147.72,53.01,4.16
303,Harper,90,US,1553385931,72,30.3,-99.24,72.0,6.93
304,Berlevag,8,NO,1553386236,100,70.86,29.09,26.35,9.42
305,Goya,0,AR,1553386020,83,-29.14,-59.27,64.96,2.93
306,Roald,75,NO,1553386204,75,62.58,6.12,41.0,17.22
307,Gigmoto,0,PH,1553386239,96,13.78,124.39,79.54,11.54
308,Suntar,64,RU,1553386241,69,62.16,117.65,15.01,7.96
309,Provideniya,88,RU,1553385996,100,64.42,-173.23,19.6,20.83
310,Dukat,0,RS,1553386089,73,42.44,22.31,39.99,1.7
311,Sungaipenuh,76,ID,1553386130,95,-2.08,101.38,66.04,1.25
312,Sao Joao da Barra,0,BR,1553382000,78,-21.64,-41.05,77.0,4.7
313,Nuuk,20,GL,1553381400,56,64.17,-51.74,12.2,19.46
314,Tortona,0,IT,1553386236,71,44.9,8.86,57.0,3.36
315,Torata,0,PE,1553386250,67,-17.08,-70.84,46.6,1.92
316,Rodrigues Alves,40,BR,1553382000,88,-7.74,-72.65,78.8,1.92
317,Pedernales,88,EC,1553386253,85,0.07,-80.05,75.94,4.27
318,Perelyub,44,RU,1553386254,88,51.87,50.37,28.6,8.86
319,Caravelas,76,BR,1553386002,100,-17.73,-39.27,82.06,16.69
320,Namibe,8,AO,1553386257,100,-15.19,12.15,78.01,4.16
321,Codajas,44,BR,1553386258,90,-3.84,-62.06,77.38,2.04
322,Ballina,20,IE,1553386106,74,54.11,-9.15,45.0,15.99
323,Lata,0,IN,1553386143,63,30.78,78.62,40.03,2.82
324,Ahuimanu,75,US,1553386220,54,21.44,-157.84,80.6,13.87
325,Khorinsk,48,RU,1553386263,65,52.16,109.78,22.03,6.06
326,Weligama,36,LK,1553386265,100,5.97,80.42,77.74,4.38
327,Iquitos,0,PE,1553382000,319,-3.75,-73.25,42.8,4.7
328,Tocopilla,0,CL,1553386268,98,-22.09,-70.2,63.52,3.71
329,Kaltenkirchen,0,DE,1553386256,86,53.84,9.96,42.01,2.24
330,Sumbe,88,AO,1553386270,100,-11.2,13.84,77.11,1.36
331,Bongor,48,TD,1553386272,54,10.28,15.37,76.12,2.15
332,Mhlambanyatsi,80,SZ,1553382000,100,-26.45,31.02,59.0,3.36
333,Guarda,0,PT,1553385729,59,40.54,-7.27,52.0,1.01
334,Pangai,56,TO,1553386276,100,-19.8,-174.35,79.81,13.56
335,Kiama,40,AU,1553385740,61,-34.67,150.86,81.0,6.93
336,Dalhousie,32,IN,1553386279,75,32.54,75.98,37.33,2.26
337,Hambantota,0,LK,1553386060,100,6.12,81.12,78.73,4.38
338,Majholi,0,IN,1553386281,52,23.5,79.93,55.87,2.93
339,Hohhot,0,CN,1553382000,61,40.81,111.65,15.8,4.47
340,Santa Fe,8,AR,1553385939,65,-31.62,-60.7,73.99,4.0
341,Matagami,12,NG,1553386285,79,9.67,8.4,71.71,2.26
342,Moron,0,VE,1553385997,70,10.49,-68.2,73.33,3.38
343,Soyo,80,AO,1553386045,97,-6.13,12.37,75.4,2.93
344,Camacha,20,PT,1553383800,72,33.08,-16.33,60.8,8.05
345,Ostersund,36,SE,1553385709,86,63.18,14.64,30.99,23.04
346,Gravdal,92,NO,1553386210,86,59.79,5.78,41.0,14.99
347,Beisfjord,92,NO,1553385692,86,68.38,17.6,37.99,28.86
348,Fort Nelson,75,CA,1553382000,56,58.81,-122.69,42.8,3.36
349,Esperance,20,TT,1553386208,69,10.24,-61.45,80.6,9.17
350,Xichang,92,CN,1553386298,97,27.88,102.25,42.1,1.14
351,Porto Torres,0,IT,1553383200,93,40.84,8.4,42.8,1.12
352,Noumea,44,NC,1553383800,58,-22.28,166.46,87.8,3.36
353,Kingston,20,CA,1553386031,34,44.23,-76.48,35.6,17.22
354,Kautokeino,80,NO,1553386304,82,69.01,23.04,30.31,9.75
355,Trelew,80,AR,1553386059,67,-43.25,-65.31,57.67,21.83
356,Arcos,88,BR,1553386037,83,-20.28,-45.54,71.53,2.71
357,Pacific Grove,1,US,1553386045,59,36.62,-121.92,63.0,16.11
358,Kodiak,90,US,1553386023,83,39.95,-94.76,55.99,9.17
359,Varia,0,GR,1553386265,62,38.6,21.58,55.4,9.17
360,Crib Point,0,AU,1553386275,65,-38.35,145.2,78.01,7.96
361,Hailey,5,US,1553385615,70,43.52,-114.32,42.8,2.59
362,Smithers,40,CA,1553382000,34,54.78,-127.17,50.0,2.37
363,Kyrylivka,48,UA,1553386315,82,47.32,37.67,32.56,11.54
364,Chapais,1,CA,1553382000,32,49.78,-74.86,26.6,11.41
365,Barguzin,76,RU,1553386320,70,53.62,109.63,19.6,4.38
366,Oktyabrskiy,40,RU,1553385468,100,55.61,37.97,32.0,2.24
367,Rawson,80,AR,1553386323,67,-43.3,-65.11,57.67,21.83
368,Varhaug,75,NO,1553386202,86,58.61,5.65,42.01,9.17
369,Brewster,1,US,1553386084,51,41.76,-70.08,43.0,14.99
370,Hofn,76,IS,1553386055,100,64.25,-15.21,39.4,22.28
371,Orotukan,64,RU,1553386328,87,62.26,151.67,10.33,3.71
372,Kindia,44,GN,1553386329,66,10.05,-12.86,77.11,1.59
373,Linhares,80,BR,1553386331,87,-19.38,-40.06,75.13,9.31
374,Santa Cruz Cabralia,75,BR,1553382000,88,-16.28,-39.02,77.0,5.82
375,Nouadhibou,20,MR,1553382000,88,20.93,-17.03,64.4,10.29
376,Toowoomba,0,AU,1553386266,54,-27.56,151.95,84.0,4.7
377,Tatvan,92,TR,1553386336,95,38.5,42.28,33.37,3.04
378,Honiara,76,SB,1553386337,90,-9.43,159.96,80.71,2.71
379,Natal,40,BR,1553382000,83,-5.81,-35.21,82.4,4.7
380,Ostrovnoy,0,RU,1553386340,85,68.05,39.51,30.58,21.05
381,Phalaborwa,76,ZA,1553382000,88,-23.95,31.14,71.6,9.17
382,Kirakira,64,SB,1553386342,100,-10.46,161.92,83.32,10.76
383,Vostok,0,RU,1553386121,49,46.45,135.83,15.91,2.93
384,Oranjemund,92,ZA,1553386345,92,-28.55,16.43,62.26,3.71
385,Svetlaya,0,RU,1553386171,100,46.54,138.33,22.75,10.76
386,Quelimane,88,MZ,1553386309,95,-17.88,36.89,75.58,6.4
387,Ewa Beach,90,US,1553385919,57,21.32,-158.01,80.6,5.82
388,Selfoss,75,IS,1553385698,91,63.94,-21.0,33.01,4.7
389,Yongchang,0,CN,1553386351,63,38.06,102.59,15.1,3.38
390,Salisbury,80,GB,1553386345,75,51.07,-1.8,48.99,5.82
391,Lincoln,1,US,1553386225,66,40.8,-96.67,54.0,14.99
392,Bogale,0,MM,1553386356,98,16.29,95.4,74.59,9.31
393,Cavalcante,88,BR,1553386357,97,-13.79,-47.46,70.72,2.71
394,Robertsport,36,LR,1553386358,99,6.75,-11.37,82.15,8.52
395,Tuatapere,68,NZ,1553386231,72,-46.13,167.69,67.03,8.63
396,Miri,44,NG,1553386158,58,10.31,9.75,71.71,2.59
397,Jaszkiser,0,HU,1553386326,80,47.45,20.22,41.0,2.24
398,Yurginskoye,20,RU,1553386363,85,56.82,67.39,21.85,3.49
399,Aykhal,36,RU,1553386364,65,65.95,111.51,-5.43,6.62
400,Ileza,92,RU,1553386366,91,61.05,43.9,27.34,16.02
401,Taybad,0,IR,1553386367,88,34.74,60.78,34.63,2.37
402,Lubin,75,PL,1553386347,87,51.4,16.21,46.4,10.29
403,Port-Gentil,40,GA,1553382000,88,-0.72,8.78,82.4,4.7
404,Tura,0,IN,1553386369,78,25.52,90.21,56.68,3.15
405,Pisco,75,PE,1553382000,30,-13.71,-76.2,71.6,19.46
406,Owen Sound,5,CA,1553386350,54,44.57,-80.95,33.01,11.41
407,Krasnyy Kut,92,RU,1553386374,90,47.1,40.67,33.91,6.96
408,San Gabriel,75,US,1553386372,63,34.1,-118.11,66.99,5.82
409,Bafq,0,IR,1553386377,52,31.6,55.4,40.57,2.82
410,Pombas,48,BR,1553386379,60,-15.9,-54.74,81.88,3.71
411,Gladstone,40,AU,1553386113,58,-23.84,151.26,90.0,5.82
412,Brigantine,1,US,1553386245,26,39.41,-74.36,48.2,18.34
413,Algeciras,20,ES,1553383800,72,36.13,-5.45,60.8,21.92
414,Alta Floresta,24,BR,1553386122,90,-9.87,-56.08,77.2,1.81
415,Colac,44,AU,1553386028,72,-38.34,143.59,73.99,1.01
416,Tabuk,64,PH,1553386103,71,17.41,121.44,67.39,1.36
417,Ahipara,0,NZ,1553386092,74,-35.17,173.16,73.6,4.94
418,Ponta do Sol,68,BR,1553386388,87,-20.63,-46.0,69.91,2.82
419,Vysokogornyy,0,RU,1553386390,55,50.1,139.13,12.58,3.49
420,Prata,92,BR,1553386391,67,-19.31,-48.92,78.46,8.08
421,Hemnesberget,88,NO,1553386213,93,66.23,13.61,34.0,3.0
422,Ca Mau,68,VN,1553386394,96,9.18,105.15,79.27,8.75
423,Aklavik,20,CA,1553382000,67,68.22,-135.01,23.0,17.22
424,Muros,0,ES,1553386309,62,42.77,-9.06,57.99,1.12
425,Viedma,20,AR,1553386130,49,-40.81,-62.99,63.16,19.82
426,Zeya,88,RU,1553386399,62,53.74,127.27,14.29,3.15
427,Camaqua,0,BR,1553386400,93,-30.85,-51.81,62.8,6.4
428,Ankang,64,CN,1553386402,65,32.73,108.99,38.41,1.48
429,Iqaluit,90,CA,1553385769,71,63.75,-68.52,6.8,31.09
430,Lahij,0,YE,1553386405,95,13.06,44.88,64.15,1.81
431,Waipawa,0,NZ,1553386337,56,-39.94,176.59,75.0,3.0
432,Qandala,0,SO,1553386407,97,11.47,49.87,66.58,4.83
433,Akdepe,8,TM,1553383800,93,42.05,59.39,46.4,4.7
434,Lima,0,PE,1553385907,78,-12.06,-77.04,73.4,12.75
435,Pavlovsk,0,RU,1553383800,68,53.31,82.99,30.2,6.71
436,Lianzhou,92,CN,1553386413,98,24.79,112.38,45.61,2.04
437,Shakawe,8,BW,1553386414,43,-18.36,21.84,72.34,6.17
438,Jambi,92,ID,1553386415,96,-1.6,103.62,73.33,2.82
439,Nara,20,JP,1553386398,65,34.68,135.8,46.4,6.93
440,Hemet,75,US,1553386161,59,33.75,-116.97,69.01,5.82
441,Kathu,56,ZA,1553385684,50,-27.7,23.05,75.99,3.0
442,Margate,20,AU,1553386045,52,-43.03,147.26,69.01,9.17
443,College,75,US,1553386240,37,64.86,-147.8,53.01,4.16
444,Neiafu,75,TO,1553382000,69,-18.65,-173.98,80.6,5.82
445,Utete,92,TZ,1553386424,97,-7.99,38.76,74.95,2.37
446,Vanavara,0,RU,1553386425,78,60.35,102.28,3.76,3.15
447,Sylacauga,1,US,1553386426,20,33.17,-86.25,69.8,3.36
448,Mayo,75,CA,1553382000,33,63.59,-135.9,59.0,10.29
449,Teeli,0,RU,1553386378,43,51.01,90.2,0.07,2.15
450,Iranshahr,56,IR,1553386431,97,27.21,60.69,51.82,3.38
451,Port Shepstone,56,ZA,1553386431,89,-30.74,30.45,75.58,24.07
452,Nishihara,20,JP,1553386284,39,35.74,139.53,52.0,4.7
453,Baoqing,64,CN,1553386435,59,46.32,132.2,23.2,4.94
454,Salta,0,AR,1553385600,87,-24.79,-65.41,66.2,4.7
455,Ratnagiri,0,IN,1553386438,100,16.98,73.3,77.02,3.15
456,Tremedal,92,BR,1553386439,94,-14.98,-41.41,68.29,5.06
457,Petropavlovsk-Kamchatskiy,75,RU,1553383800,74,53.05,158.65,30.2,4.47
458,Morgan City,1,US,1553386350,46,29.7,-91.21,69.8,9.17
459,Balkanabat,48,TM,1553386383,82,39.51,54.36,36.07,4.61
460,Hami,0,CN,1553386444,42,42.84,93.51,31.75,8.41
461,Marsh Harbour,0,BS,1553386192,100,26.54,-77.06,73.15,9.42
462,Nantucket,1,US,1553386286,48,41.28,-70.1,44.6,17.22
463,Kulhudhuffushi,0,MV,1553386336,100,6.62,73.07,83.68,5.61
464,Bereda,0,ES,1553386443,87,43.27,-7.54,50.0,3.36
465,Guozhen,92,CN,1553386451,100,29.3,113.14,43.9,2.93
466,Vila Velha,75,BR,1553386099,94,-3.71,-38.6,79.0,6.93
467,Biak,68,ID,1553386453,89,-0.91,122.88,81.52,2.37
468,Bunol,0,ES,1553386454,81,39.42,-0.78,55.0,2.24
469,Axim,0,GH,1553386456,97,4.87,-2.24,83.41,8.75
470,Longyearbyen,20,NO,1553385000,72,78.22,15.63,17.6,12.75
471,Ayan,0,TR,1553386459,66,40.67,33.6,21.76,5.17
472,Bone,12,ID,1553386460,90,-10.32,123.57,84.04,10.65
473,Honggang,92,CN,1553386461,97,29.51,114.87,41.11,2.15
474,Tefe,0,BR,1553381100,88,-3.35,-64.71,80.6,2.59
475,Utena,48,LT,1553386464,89,55.5,25.6,40.21,14.79
476,Escuintla,40,GT,1553382000,66,14.29,-90.78,87.8,6.93
477,Uruzgan,32,AF,1553386467,70,32.93,66.63,22.3,2.37
478,Okha,36,RU,1553386468,85,53.59,142.95,10.51,14.79
479,Dzialdowo,32,PL,1553386469,78,53.24,20.17,38.95,15.46
480,Bubaque,8,GW,1553386470,100,11.28,-15.83,77.47,13.67
481,Maymyo,20,MM,1553383800,72,22.03,96.47,66.2,1.36
482,Hollister,1,US,1553386407,59,36.85,-121.4,63.0,16.11
483,Lorengau,68,PG,1553386474,97,-2.02,147.27,83.05,10.98
484,Heishan,0,CN,1553386476,48,41.69,122.12,39.04,16.69
485,Grenfell,80,AU,1553386477,78,-33.9,148.16,68.56,6.85
486,Champua,0,IN,1553386479,69,22.04,85.66,56.86,2.59
487,Merauke,76,ID,1553386480,100,-8.49,140.4,79.09,8.08
488,Agirish,0,RU,1553386481,75,61.92,63.02,15.1,5.28
489,Sault Sainte Marie,1,CA,1553382000,59,46.49,-84.36,37.4,8.05
490,Cedral,0,MX,1553386484,24,23.82,-100.72,70.63,3.15
491,Svetlogorsk,92,RU,1553383800,92,53.14,59.15,19.4,2.24
492,Bonavista,92,CA,1553385638,87,48.65,-53.11,37.0,3.0
493,Ambilobe,64,MG,1553386488,98,-13.19,49.05,72.52,2.71
494,Oum Hadjer,12,TD,1553386489,49,13.3,19.7,73.96,2.82
495,Turukhansk,88,RU,1553386491,90,65.8,87.96,20.14,5.61
496,Rockland,1,US,1553386217,51,42.13,-70.92,41.0,14.99
497,Mayor Pablo Lagerenza,80,PY,1553386494,65,-19.93,-60.77,81.61,6.17
498,Kabare,24,RW,1553386495,99,-1.65,29.38,56.5,2.71
499,Cloquet,1,US,1553386216,42,46.72,-92.46,51.8,11.41
500,Taiyuan,0,CN,1553383800,46,37.86,112.56,30.2,2.71
501,Ongandjera,36,NA,1553386499,65,-17.88,15.07,70.0,1.7
502,Victoria,75,BN,1553383800,88,5.28,115.24,80.6,4.38
503,Shakiso,0,ET,1553386502,63,5.77,38.9,54.88,3.38
504,Devils Lake,1,US,1553384100,88,48.11,-98.87,41.0,3.94
505,Hovd,75,NO,1553386501,64,63.83,10.7,37.4,47.2
506,Finnsnes,90,NO,1553385692,97,69.23,17.98,35.01,8.05
507,Manoel Urbano,44,BR,1553386445,85,-8.84,-69.26,79.09,2.82
508,Mecca,0,SA,1553386508,60,21.43,39.83,59.74,2.59
509,Sangar,80,RU,1553386382,62,63.92,127.47,8.8,3.04
510,Westport,64,IE,1553386384,79,53.8,-9.52,45.0,4.0
511,Alice Town,0,BS,1553386512,100,25.72,-79.3,73.69,12.21
512,Simplicio Mendes,56,BR,1553386513,96,-7.85,-41.91,72.52,6.17
513,Winslow,92,GB,1553386507,80,51.94,-0.88,46.0,3.36
514,Moorhead,1,US,1553386513,86,46.87,-96.75,39.99,9.17
515,Turochak,0,RU,1553386518,65,52.26,87.12,15.64,2.15
516,Flinders,40,AU,1553386507,61,-34.58,150.85,86.0,6.93
517,Malangwa,92,CD,1553386520,100,-2.84,17.57,70.72,2.26
518,Sesheke,0,NA,1553386522,53,-17.47,24.29,71.71,5.39
519,Tunggol,0,PH,1553386523,86,5.84,121.15,83.41,10.76
520,Parati,0,BR,1553382000,65,-20.51,-54.63,78.8,6.93
521,Temiscaming,20,CA,1553386216,68,46.72,-79.1,28.99,13.87
522,Citta di Castello,0,IT,1553386521,65,43.47,12.23,52.0,1.12
523,Calama,0,CL,1553382000,22,-22.46,-68.93,68.0,20.8
524,Severodvinsk,90,RU,1553383800,88,64.56,39.82,33.8,11.18
525,Paka,0,HR,1553383800,83,45.29,18.06,39.2,5.82
526,Hata,0,IN,1553386532,44,26.74,83.74,64.06,7.63
527,Abrau-Dyurso,76,RU,1553383800,100,44.7,37.6,35.01,2.24
528,Bonfim,75,BR,1553382000,69,-20.33,-44.24,73.4,9.17
529,Batagay,24,RU,1553386537,64,67.65,134.64,-0.66,2.93
530,Middletown,1,US,1553386536,32,41.45,-74.42,42.8,8.05
531,Pimentel,76,BR,1553386540,95,-3.7,-45.5,74.77,3.49
532,Cubuk,0,TR,1553386177,58,40.24,33.03,32.0,6.93
533,Nador,36,MA,1553383800,82,35.17,-2.93,60.8,12.75
534,Natitingou,36,BJ,1553386544,40,10.31,1.38,77.29,1.92
535,Sistranda,75,NO,1553386470,80,63.73,8.83,36.0,34.45
536,Sosnovo-Ozerskoye,0,RU,1553386547,73,52.53,111.54,14.38,10.98
537,Beloha,12,MG,1553386548,79,-25.17,45.06,74.86,15.57
538,El Alto,40,BO,1553382000,40,-16.5,-68.19,53.6,6.93
539,Saint-Paul,0,FR,1553386510,65,45.22,1.9,52.0,2.24
540,Sao Luiz Gonzaga,0,BR,1553386547,83,-28.41,-54.96,64.51,2.59
541,Kenai,75,US,1553385971,86,60.55,-151.26,45.0,5.82
542,Ngunguru,24,NZ,1553386084,67,-35.62,174.5,75.0,7.0
543,Chara,0,GR,1553381400,81,39.42,22.43,44.6,4.16
544,Volsk,88,RU,1553386558,95,52.04,47.39,32.38,3.04
545,Neryungri,80,RU,1553386559,76,56.66,124.71,10.15,3.94
546,Novaya Igirma,48,RU,1553386560,80,57.14,103.93,18.34,5.39
547,Alexandria,1,US,1553386410,37,31.31,-92.44,75.2,8.05
548,Shimizu,20,JP,1553386501,39,35.71,139.62,52.0,4.7
549,Kirillov,92,RU,1553386564,95,59.86,38.38,32.83,18.03
550,Mersing,0,MY,1553386566,95,2.43,103.84,78.19,2.71
551,Iralaya,8,HN,1553386567,78,15.0,-83.23,78.73,8.41
552,Sardarshahr,0,IN,1553386568,80,28.43,74.48,61.45,7.96
553,Usinsk,92,RU,1553386569,91,66.0,57.56,26.8,17.47
554,Mansa,0,IN,1553383800,33,23.43,72.66,75.2,2.37
555,Meulaboh,88,ID,1553386572,100,4.14,96.13,76.75,4.05
556,Ulladulla,40,AU,1553386524,61,-35.36,150.48,77.0,6.93
557,Atar,0,MR,1553386575,56,20.52,-13.05,60.91,4.38
558,Chernyshevskiy,44,RU,1553386576,64,63.01,112.47,5.29,7.4
559,Kalabo,0,ZM,1553386578,47,-15.0,22.67,71.35,8.08
560,Morant Bay,20,JM,1553382000,61,17.88,-76.41,82.4,8.05
561,Huicheng,90,CN,1553382000,100,23.03,116.29,57.2,6.71
562,Kahului,40,US,1553386575,54,20.89,-156.47,82.4,26.4
563,San Vicente,20,SV,1553386556,62,13.64,-88.78,84.2,5.82
564,Komsomolskiy,88,RU,1553386585,90,67.55,63.78,19.87,18.25
